sender,no_reacts,text,label
$USER1790,0,Rupe i pe toți. Diana,OTHER
$USER3223,0,"Este adevărat cu laboratoarele.dovezile le-au ars ,rtv sunteți o tv de cacat",INSULT
$USER0043,0,Lalatrine doar jocuri pe calculator:-))),OTHER
$USER0194,0,ROexit că ăștia ne fac zombi,OTHER
$USER1373,0,"@LUIS inamicul NU este rusia, rusia NU are ce lua de la noi, occidentul ne-a luat TOTTT",OTHER
$USER0664,0,"Romanii treziti-va la realitate, sfarsim sa ne trezim intr-o dictatură!!",OTHER
$USER0695,2,"Înainte de a fi război, să-i dăm jos pe dobitoci.",INSULT
$USER2909,2,"Sa o pupi in k..r, batran si prost",INSULT
$USER1329,0,Luis.ne.vom.antoarce.la.certificat.verde?Au.turbat.de.tot.ăștia?vă.rog.un.răspuns.scurt.,OTHER
$USER0511,0,Toata tara in strada.,OTHER
$USER3419,0,Visan este o jigodie platit de jegosi parlamentari,ABUSE
$USER1163,0,"Au ajuns oamenii să plece din tara lor, din pricina locurilor de muncă. Că a-ți distrus țara definitiv de 32 de ani. A-ți vândut tot la străini.",OTHER
$USER2154,0,A trimis fatalai,INSULT
$USER0166,3,"Pe Putin nu lor ascultat nimeni de 8 ani a vorbit ci NATO, OMS Usa etc Zelinsky este un drogat nazist",ABUSE
$USER0766,2,Madama care poartă 46 la pantof înainte a fost nene ???,OTHER
$USER0405,0,Varza România Rusia va cuceri România și Moldova Rebublica,OTHER
$USER0045,0,Servicii incluse,OTHER
$USER0083,0,Buna seara! Ati avut dreptate in tot ce ati zis ati demonstrat cu fapte ! Aveti respectul meu,OTHER
$USER3205,0,Vine pula mea la razboi,PROFANITY
$USER0009,0,Foarte buna istorisirea dl Manega,OTHER
$USER1467,4,Homosexualul Gheorghiță merge și el ( ea ) la război?,ABUSE
$USER0574,0,Luna viit.pe 24.04.2022.va fi Paștele.Si rusii sunt crestin ortodox,OTHER
$USER0671,0,Și interesul nostru național unde e facem autostrăzi de se strica anual? Facem cumpărături de armata care pica singure ?,OTHER
$USER0565,2,LA MULTI ANI PORCILOR DIN PARLAMENT,INSULT
$USER0161,0,NE CERTAM DEGEABA CU UCRAINA....,OTHER
$USER1617,0,Gunoaiele il tot provoaca pe Putin,ABUSE
$USER0608,0,mars ma prostule de aici,INSULT
$USER1443,2,Omul ästa oare crede si el ce spune???...,OTHER
$USER2418,1,În prima linie vom fi noi mamele ca să ne apărăm fii de acești slugoi,ABUSE
$USER3717,0,Să vă dau MUE de jandarmi cu mască!,ABUSE
$USER0671,0,Prostimea încă poarta masca,OTHER
$USER0093,0,"Asa pregatec si mascaricii nostri conducatori,vor sa ne batem cu rusii!",OTHER
$USER1022,0,"Banii Românilor sunt in buzunarul partidelor ,de aia cresc prețurile la tot",OTHER
$USER0833,0,Vrem anticipate,OTHER
$USER0325,0,"Hai slugilor ragusiti ,tare",ABUSE
$USER1596,0,Ieșiți în stradă,OTHER
$USER0250,0,Vine laptele și mierea,OTHER
$USER1800,0,România TV spune ca avioane ucrainene au aterizat in România,OTHER
$USER1732,0,Crima pt crima Jos cu jegurile carè imi vrea râul,ABUSE
$USER0690,0,Cetățeni români au fost fost obligați să plece ca să țină mizerabilii în țară,ABUSE
$USER1615,1,Bravo felicitări Domnule Angelo v,OTHER
$USER1062,0,Felicitari Giorge doamne ajuta!,OTHER
$USER1636,0,Sper ca acest parinte sa fie tras de urechi si sa treaca pe mut.La fel ca cel de la Constanta care vorbea mult si prost.,OTHER
$USER0183,0,"Broscarul de terheș ,tu vorbești că ești sclavul Americi",ABUSE
$USER1674,0,"Elisa Anca ,așa a scris telefonul , greșit",OTHER
$USER0871,3,"Aceleași scursuri ordinare, martorii lui covid s-au transformat în analisti militari",ABUSE
$USER1459,0,Pe ei ii doare in cur de noi,INSULT
$USER1277,1,"Dictatură capitalistă , mai periculoasă decât dictatura comunistă?!",OTHER
$USER0671,0,Omul e campion al libertății,OTHER
$USER0099,0,daca tu prinzi un hot in casa il bati sau nu?unde i victima?,OTHER
$USER0809,0,"Respect și stimă, domnule Luis Lazarus!",OTHER
$USER0463,0,Crezi că are inimă?,OTHER
$USER0057,4,"Ce cauți aici pe pagina ei să caști gura aici ? Hai,valea...",INSULT
$USER1617,0,Respect doamna Diana.,OTHER
$USER1059,0,Da salvăm patrioții,OTHER
$USER4116,0,Bravo foarte corect spui dar la proști nu le poți lămuri,INSULT
$USER3611,0,Jos cu ei firar ei ai dracu da criminali uuuuuuu,ABUSE
$USER0046,0,"Trist,,,, dar adevărat",OTHER
$USER3098,2,"Șoșoaca mama prostilor cu "" blutut """,INSULT
$USER0177,0,Pentru ca ei au avut motive întemeiate.,OTHER
$USER1781,0,"Stă la dos,el iese doar la apelul bocancilor!",OTHER
$USER0674,0,Si ce ne intereseaza pe noi ce salarii au ?,OTHER
$USER2262,0,Gunoaie ce îți mai place globalisti,ABUSE
$USER0820,0,Ahaha in tv in italia nu au arata romania doar Polonia,OTHER
$USER3264,0,Idiot popor încă sintem votăm scursurile comuniste Marca PSD alias Aur sau PNL securist.,ABUSE
$USER0288,6,Rusine ati distrus tara !,OTHER
$USER3173,0,"Bine le-ai zis! ""Marș!"" le-aș fi spus și eu.",INSULT
$USER1846,0,"In loc sa faceti ceva, aveti tot timpul de comentat, sa ti fie rusine",OTHER
$USER0116,0,De ce crezi că vorbea Johannis despre independenta energetică? E posibil de probarea centralelor thermonuclear!!!,OTHER
$USER0773,0,Nu mai ai voie sa postezi o saptamana dupa comentariul asta. Succes,OTHER
$USER1587,1,"Stefan Dauto ,ești spălat pe creier,ce aperi și pe cine mai idiotule",INSULT
$USER1871,0,"PENTRU CĂ LUPTAȚI PENTRU VIAȚA NOASTRĂ A TUTUROR ROMÂNILOR, DOAMNA DE FIER A ROMÂNIEI",OTHER
$USER0235,0,Ce caută Kamala la noi ???,OTHER
$USER0724,0,Problema lu Sosoaca e AUR si sta sa bage limbi la PSD.,ABUSE
$USER1788,0,Cel mai frumos cadou pentru femei și pentru toată lumea sa fie,OTHER
$USER1163,1,"Păi scăpa acuma cu războiul. Că cu pandemia, minciuni, nu au omorât cât trebiua.",OTHER
$USER1778,0,Angelo.fi.mai.civilizat.ca.nui.frumos.ce.vorbesti.anseamna.ca.esti.un.mafiot,OTHER
$USER0342,0,Bă opriți exporturile de alimente,OTHER
$USER0322,2,Gabriel Trifa off.. De asta se duce dracu tara asta!! Pisorcosi usr-iti ca tine.. Marș trotineta de om!!,INSULT
$USER0024,2,Jos PNL USR PSD UDMR.,OTHER
$USER1774,0,ESTE PĂCĂLEALA ESTE DEJA PREA TÂRZIU,OTHER
$USER0027,0,SI CE PROPUI DOMNULE TERHEȘ SA SARIM NOI ROMÂNII LA BEREGATA LUI PUTIN ?!,OTHER
$USER0433,0,Iohanis teai dat cu ruj ai de pupat curu la stapin,INSULT
$USER1211,1,"De ce plua mea mai platim NATO , daca trebuie sa mergem noi la razboi , opriti sa mai platiti NATO, ii platiti deegeaba.",PROFANITY
$USER0105,0,Chiar asa va fi ca toți unește SUA,OTHER
$USER1911,0,Vrem conducatori adevărați nu hoți și criminali,OTHER
