id,text,label
17093,"bai, prostamol, esti o javra ordinara, nemernicule!!! Va vom infunda poarta cu goluri! Si sa vad [ORG] tau de moldoveni nenorociti retrogradat in C!",ABUSE
25829,"echipa de 2 lei....
cacati de jucatori,conducerea si pola....
in div ¨C¨ cu voi....javre imputite...
faceti tara de rusine...
hai [ORG],hai [ORG]...",INSULT
18188,sa ma p.i.s pe [PERS] care este un incult un repetent care fara oamenii de langa el n ar sti nici sa mearga cu masina [ORG] trebuie sa dea punctele vasluiului ca sase ridice la loc si sa ia la adevar dar sper ca cacatii aia de la [ORG] cu exceptia lui [PERS] sa nu se dea la o parte,ABUSE
27507,"Multa bafta antrenorilor si fetelor. Iar pentru d-ul [PERS] multa sanatate si "" La multi ani! """,OTHER
18006,"ce stadioane au aia si ce stadioane avem noi,mie imi e jena sa ma duc pe stadioanele din tara sa sustin echipa,dar o fac ptr ca iubesc fotbalul,dar in rest,avem stadioane deplorabile,de toata sila",OTHER
32362,"SUNTETI NISTE ISTERICI DE FIECARE DATA CAND CASTICA [ORG] NUMAI BLAT STITI SI FACETI SPAM

PANARAMELORR !",ABUSE
22602,veti fii 100 de copii contra un oras intreg retardatilor.sper sa pun mana pe vreo 2-3 sa va arat cine sunteti,ABUSE
23033,"Draga [PERS], [ORG] si [ORG] ar trebui sa se sesizeze mai intii in cazul lui [PERS] pentru ca [PERS] a inceput si a mai spus si tiimpeenii pedeasupra, pe cind Costache a spus un adevar care supara intradevar, dar tot adevar ramine.
In alta ordine de idei, [PERS] sau [PERS] erau la [ORG] cind au cistigat titlurile, nu la [PERS], Ca ei s-au format la [PERS], este si normal pentru ca voi si [ORG] luati TOT ce era mai bun in fotbalul romanesc. Eu zic sa taci ca vorbesti tare aiurea.. Forza STIINTA.",OTHER
14246,"Hai sa o lasam mai moale cu ""marele"" [PERS] . Am vazut si in Israel si cu Bulgaria .Daca nu erau albanezii ne uitam la televizor cu [PERS] in frunte.Ca sa nu mai vorbim daca n-ar fi [PERS] cum ar juca nationala lui [PERS].",OTHER
43271,SPUNE CEVA FUUUTETEAR DUMNEZAU IN GURA PE TINE SI PE MAAATAA,INSULT
