sender,no_reacts,text,label
$USER0001,0,Si pacea a apărat o țărănimea si prostimea nu bogații!,OTHER
$USER0001,2,Avem copii si nepoți care nu știm ce vremuri vor trăi !,OTHER
$USER0002,3,Sacrificiul nostru este pacea lumii. Haideti sa facem sacrificiu cerand pace prin rugaciune si nu prin sangele nostru.,OTHER
$USER0003,0,"Sunt Popoare marii care au saracit,si acum vor sa distruga populatiile micii cu Resurse de tot genul,ca ei sa poata supravietui.",OTHER
$USER0004,0,Uzurpatorii vor razboi,OTHER
$USER0005,0,Doamne ajuta sa fim neutrii. Multumim pt tot ce facefi!,OTHER
$USER0003,0,"Aici au inceput organizarii mici cu piticii verzii,deja se fac miscarii de implementare,Atentie !",OTHER
$USER0006,2,Marș mă! Trăiți prezentul și faceți lucrurile să funcționeze de acum înainte! Lua-r-ați FOC!,ABUSE
$USER0006,0,Să moară mamaie câți intelectuali!,PROFANITY
$USER0007,2,MULTUMIM PENTRU FRUMOASA EMISIUNE .....DE INALTA TINUTA INTELECTUALA...NEUTRALITATE SI PACE !,OTHER
$USER0008,0,Felicitări și ocrotire tuturor!,OTHER
$USER0009,0,Foarte buna istorisirea dl Manega,OTHER
$USER0010,0,"Fă și tu la fel, papagalule !",INSULT
$USER0011,3,Dle....Putoi....tot putoi ramai.....!!!!,INSULT
$USER0010,0,"Puțoiule, să moară mătamare, câți proști cu tine în frunte....",ABUSE
$USER0012,0,"Mai, Puțoiule, te-ai infiltrat unde nu trebuie!",INSULT
$USER0006,0,Vorbă lungă te speli cu cenușă pe dinți?,OTHER
$USER0006,0,"Citiți cărțile istoriei, nu mai ascultați toți părăsiții!!!",OTHER
$USER0013,0,Oameni minunati! Felicitări!!!,OTHER
$USER0006,0,"Vă e mai comod, știu, dar faceți un minim de efort!",OTHER
$USER0006,0,Oamenii mor și voi trăiți în trecut!,OTHER
$USER0010,0,"Puțoi, învață istorie să nu mori prost cum te-ai născut.",INSULT
$USER0014,0,"Da u dc stai in casa si nu ajuti,sau facut atatea proteste ,u faci cv",OTHER
$USER0006,0,Ce căutați în casă și nu ieșiți să ajutați?,OTHER
$USER0015,0,RUSII NU AU MANCAT BATAIE PANA ACUM ??????? DAR AMERICANI ???????????????????????????????????,OTHER
$USER0006,0,CITIȚI nu mai ascultați toți pârâții care traduc istoria subiectivi!!!,OTHER
$USER0014,0,"Da u dc stai in casa si nu ajuti...sau facut atatea proteste,u ce ai facut",OTHER
$USER0015,0,RUSII NU AU MANCAT BATAIE ????? .. DAR AMERICANI ????????,OTHER
$USER0010,0,"Cu cât vom scoate mai mult la lumină această rasă kazară, cu atât mai mult omenirea se va elibera de aceste satane globaliste kazare !",ABUSE
$USER0016,0,Maricuta Mamy adevarat.,OTHER
$USER0017,0,"Nici măcar nu știi ce înseamnă share ,doamne ferește cu ce specimene avem de a face vai de steaua ta",ABUSE
$USER0018,3,Si de aici va veni sfarsitul,OTHER
$USER0019,3,UCRAINA VA FI NOUL IERUSALIM!,OTHER
$USER0020,3,"Viorica Hurjui ,da si au mai si facut similari de razboi in Ucraina,ultima in septembrie 2021.",OTHER
$USER0002,2,"Ierusalim este un oras,nu o tara",OTHER
$USER0021,2,Adevarat ce spuneti prosti nu pricep,INSULT
$USER0020,0,"Este dezastroasa pentru ca am avut tradatori la carma,care ne au vandut in primul rand tara iar noi am fost passivi.",OTHER
$USER0022,0,"Globalismul clocotește, sunt disperați",OTHER
$USER0023,0,"Putin a spus că ne dă teritoriile românești din așa zisă Ucraina inapoi ,dar statul nu le dorește.",OTHER
$USER0012,0,Si Stolojan a lucrat la Banca Mondiala si nu cred ca este strain de ceea ce se-ntampla astazi!,OTHER
$USER0024,0,Mare RESPECT PENTRU TOT CEEA CE FACEȚI PENTRU ROMÂNIA.,OTHER
$USER0021,0,Respectul Meu dn sosocà,OTHER
$USER0010,0,"Voicu Maria, Nu mai există negociere cu acești porci criminali kazari askenazi.",ABUSE
$USER0025,0,Buna ziua tuturor,OTHER
$USER0026,0,NEUTRALITATEA ESTE NECESARĂ PENTRU ROMANIA .,OTHER
$USER0027,0,ACEȘTI UCRAINIENI VOR AVEA DREPT DE VOT,OTHER
$USER0028,0,"Scrieți mesaje clare... sa putem înțelege ... Fără căței , pisici..",OTHER
$USER0002,0,Ioha este santajat cu traficul de copii .,OTHER
$USER0029,0,Autoritatile...sunt o suma de tradatori,OTHER
$USER0010,0,"Roman Din Elena Carmen, Nu va spune nimeni , nimic ! Totul se face pe ascuns, dar nu se știe ce soartă va avea nazistul criminal împreună cu Arafat.",ABUSE
$USER0030,0,Bună dimineața!,OTHER
$USER0025,0,Respect domnule profesor.Avem atitia savanti si intelectuali care sint efectiv acoperiti de oameni sistemului mediocru,OTHER
$USER0031,0,"Doamne ajuta si da ganduri bune si curate, asupra noastra, mai marilor lumii, lumineaza i pe ei, ca sa nu distruga creatia Ta! Amin!",OTHER
$USER0028,0,"Doamne .. D .Prof Colceag ! D.Manega ! Și un alt Domn. .! Doamna Șoșoaca .....văi doamne ce minunați Oameni ai României aici ,!",OTHER
$USER0032,2,Respect pentru domnul Ion coja,OTHER
$USER0033,2,"Ăștia sunt oamenii noi formați de către sistemul bolșevic,soșa incearcă să-i recicleze !",OTHER
$USER0034,0,Băsescu este un gunoi securist mafiot al istoriei românești,ABUSE
$USER0010,2,"Roman Din Elena Carmen, Arafat trebuie arestat și condamnat la închisoare pe viață pentru genocid împotriva poporului român, AICI! Dacă este expulzat, ADIO!",OTHER
$USER0028,0,Bravi Va mulțumesc ....fără emoticoane ..,OTHER
$USER0035,0,Spuneți numele d-le profesor !,OTHER
$USER0028,0,Lasă emoticonu. ..scrie un mulțumesc .,OTHER
$USER0036,0,Casian Anghel nouă ordine mondiala înseamnă o lume fara Dumnezeu!,OTHER
$USER0021,0,Eatà patrioti sunt dati la o parte,OTHER
