denseSize,learningRate,batchSize,tokenizerMaxLen,FGLoss,FGAccuracy,FGPrecision,FGRecall,FGF1Micro,FGF1Macro,CGAccuracy,CGPrecision,CGRecall,CGF1
64,0.0005,32,20,0.6306459307670593,0.7620651125907898,0.8090322613716125,0.7037037014961243,0.7527011036872864,0.5986186861991882,0.8552188552188552,0.8993055555555556,0.7214484679665738,0.8006182380216383
64,0.0005,32,140,0.523004412651062,0.81144779920578,0.8428745269775391,0.7766554355621338,0.8084112405776978,0.6936785578727722,0.9012345679012346,0.8973607038123167,0.8523676880222841,0.8742857142857142
64,0.0005,64,20,0.6678575873374939,0.7542087435722351,0.7953144311904907,0.7239057421684265,0.7579319477081299,0.61594557762146,0.835016835016835,0.9045801526717557,0.6601671309192201,0.7632850241545895
512,0.0001,16,140,0.5601713061332703,0.7890011072158813,0.8210784196853638,0.7519640922546387,0.7850029468536377,0.6505204439163208,0.8888888888888888,0.9113924050632911,0.8022284122562674,0.8533333333333334
512,0.001,128,80,0.5516329407691956,0.7957351207733154,0.8290908932685852,0.7676767706871033,0.7972028255462646,0.6648194789886475,0.8787878787878788,0.9169435215946844,0.7688022284122563,0.8363636363636363
512,0.0001,32,120,0.5764715671539307,0.7789000868797302,0.8203821778297424,0.7227833867073059,0.7684964537620544,0.6116442084312439,0.8799102132435466,0.8987341772151899,0.7910863509749304,0.8414814814814816
256,0.001,16,60,0.5746407508850098,0.8035914897918701,0.8209658265113831,0.7822670936584473,0.8011494278907776,0.6846094131469727,0.8911335578002245,0.9198717948717948,0.7994428969359332,0.8554396423248882
512,0.001,16,60,0.5714787244796753,0.7912458181381226,0.8348045349121094,0.7429854273796082,0.7862232327461243,0.65684974193573,0.8843995510662177,0.9210526315789473,0.7799442896935933,0.8446455505279035
512,1e-05,16,60,0.6320167183876038,0.7542087435722351,0.8139223456382751,0.6823793649673462,0.7423688173294067,0.5639054179191589,0.8698092031425365,0.9063545150501672,0.754874651810585,0.8237082066869301
128,0.001,64,60,0.5677898526191711,0.7800224423408508,0.8212083578109741,0.747474730014801,0.7826086282730103,0.6485802531242371,0.8843995510662177,0.9129032258064517,0.7883008356545961,0.8460388639760836
128,1e-05,32,140,0.6170944571495056,0.7665544152259827,0.8232118487358093,0.6846240162849426,0.7475489974021912,0.5844153165817261,0.8742985409652076,0.9075907590759076,0.766016713091922,0.8308157099697885
64,1e-05,128,60,0.8092268705368042,0.680134654045105,0.7888198494911194,0.5701459050178528,0.6618892550468445,0.3069305121898651,0.7957351290684624,0.8798283261802575,0.5710306406685237,0.6925675675675677
64,0.0001,16,100,0.5609455108642578,0.7946127653121948,0.8259303569793701,0.7721661329269409,0.7981438636779785,0.6725948452949524,0.8922558922558923,0.8925373134328358,0.8328690807799443,0.8616714697406339
256,5e-05,64,40,0.5994230508804321,0.7777777910232544,0.8123393058776855,0.7093153595924377,0.7573397159576416,0.6171860098838806,0.8787878787878788,0.9009584664536742,0.7855153203342619,0.8392857142857143
128,1e-05,64,80,0.6831058859825134,0.7340067625045776,0.8138847947120667,0.6184062957763672,0.7028061151504517,0.44765591621398926,0.8383838383838383,0.8798586572438163,0.6935933147632312,0.7757009345794392
128,0.001,128,140,0.5621871948242188,0.804713785648346,0.8273809552192688,0.7800224423408508,0.8030040860176086,0.6898589730262756,0.9001122334455668,0.9041916167664671,0.841225626740947,0.8715728715728717
512,0.0005,64,140,0.5661227703094482,0.7822670936584473,0.823383092880249,0.7429854273796082,0.7811208963394165,0.6478636264801025,0.8810325476992144,0.8892307692307693,0.8050139275766016,0.8450292397660819
128,0.0005,64,140,0.5539722442626953,0.7912458181381226,0.8300248384475708,0.7508417367935181,0.7884501814842224,0.6705799102783203,0.8866442199775533,0.8728323699421965,0.841225626740947,0.8567375886524822
128,1e-05,64,60,0.6783174872398376,0.726150393486023,0.8155619502067566,0.6352413296699524,0.7141956090927124,0.46839573979377747,0.8473625140291807,0.896797153024911,0.7019498607242339,0.7875
64,0.001,32,100,0.5749973654747009,0.8092031478881836,0.8307692408561707,0.7878788113594055,0.8087557554244995,0.6898812651634216,0.8933782267115601,0.9074074074074074,0.8189415041782729,0.8609077598828696
256,5e-05,32,20,0.6587011814117432,0.7564533948898315,0.7956015467643738,0.6902356743812561,0.7391826510429382,0.5897730588912964,0.8518518518518519,0.8847457627118644,0.7270194986072424,0.7981651376146789
128,1e-05,128,120,0.7272259593009949,0.7048260569572449,0.8264984488487244,0.5881032347679138,0.687213122844696,0.34504467248916626,0.8305274971941639,0.8636363636363636,0.6880222841225627,0.7658914728682171
256,0.0001,128,60,0.565112292766571,0.790123462677002,0.8286066651344299,0.7542087435722351,0.7896592020988464,0.6681684851646423,0.8664421997755332,0.9,0.7520891364902507,0.8194233687405159
512,1e-05,16,140,0.5989627242088318,0.7721661329269409,0.8232190012931824,0.7003366947174072,0.7568222880363464,0.6079744100570679,0.8754208754208754,0.8949044585987261,0.7827298050139275,0.8350668647845467
64,1e-05,64,20,0.7461442947387695,0.7081930637359619,0.8062992095947266,0.5746352672576904,0.6710354089736938,0.37858688831329346,0.8114478114478114,0.889795918367347,0.6072423398328691,0.7218543046357615
64,0.0005,16,100,0.5413252115249634,0.8058361411094666,0.8311377167701721,0.7789000868797302,0.8041715025901794,0.6823891401290894,0.8956228956228957,0.9079754601226994,0.8245125348189415,0.8642335766423357
512,0.0005,128,140,0.5606046319007874,0.7979797720909119,0.8339483141899109,0.7609427571296692,0.7957746386528015,0.6746358275413513,0.8866442199775533,0.8932926829268293,0.8161559888579387,0.8529839883551674
512,0.0005,32,20,0.6450300216674805,0.7643097639083862,0.8132147192955017,0.7182940244674683,0.7628128528594971,0.651950478553772,0.8585858585858586,0.8376811594202899,0.8050139275766016,0.8210227272727273
128,0.001,64,20,0.646597683429718,0.7721661329269409,0.8134517669677734,0.7194163799285889,0.7635496854782104,0.6308744549751282,0.8585858585858586,0.8629283489096573,0.7715877437325905,0.8147058823529413
256,5e-05,32,20,0.6589857339859009,0.7564533948898315,0.8030887842178345,0.7003366947174072,0.7482014298439026,0.6006120443344116,0.8473625140291807,0.8805460750853242,0.7186629526462396,0.7914110429447853
256,0.001,16,140,0.5829261541366577,0.7811447978019714,0.8157575726509094,0.7553310990333557,0.7843822836875916,0.6414662003517151,0.8686868686868687,0.9230769230769231,0.7353760445682451,0.8186046511627908
128,0.0001,16,40,0.5786806344985962,0.7687991261482239,0.8157894611358643,0.7306397557258606,0.7708703875541687,0.6263015270233154,0.8653198653198653,0.9023569023569024,0.7465181058495822,0.8170731707317074
256,1e-05,32,80,0.6416158080101013,0.7643097639083862,0.8228882551193237,0.6778900027275085,0.743384599685669,0.592607855796814,0.8552188552188552,0.891156462585034,0.7298050139275766,0.8024502297090352
512,5e-05,32,60,0.600461483001709,0.7665544152259827,0.8197146654129028,0.7093153595924377,0.7605294585227966,0.6084096431732178,0.8765432098765432,0.9108910891089109,0.7688022284122563,0.8338368580060423
128,0.001,64,100,0.5439872145652771,0.7979797720909119,0.8219339847564697,0.7822670936584473,0.8016101717948914,0.6667432188987732,0.8911335578002245,0.9119496855345912,0.807799442896936,0.8567208271787298
64,0.0005,64,140,0.5238600969314575,0.8103255033493042,0.8353222012519836,0.7856341004371643,0.8097166419029236,0.7030822038650513,0.8956228956228957,0.9054878048780488,0.8272980501392758,0.8646288209606987
256,1e-05,32,100,0.6382956504821777,0.747474730014801,0.8219749927520752,0.6632996797561646,0.7341614961624146,0.5449767708778381,0.8641975308641975,0.9075342465753424,0.7381615598885793,0.8141321044546851
512,0.0005,128,140,0.5652256608009338,0.7867564558982849,0.8191747665405273,0.7575757503509521,0.7871720194816589,0.6639685034751892,0.8900112233445566,0.9250814332247557,0.7910863509749304,0.8528528528528528
